ID,MEAN_HYP:1,MEAN_HYP:2,MEAN_HYP:3,MEAN_FCT_HOD:1,MEAN_FCT_HOD:2,MEAN_FCT_HOD:3,MEAN_FCT_AL,MEAN_FCT_OL,MEAN_FCT_SF,MEAN_FCT_OT,MEAN_FCT_CM,NB_SPC,folds_split_C
enabled_col,T,T,T,T,T,T,T,T,T,T,T,F,F
100668,0.929,0.071,0.000,1.000,0.000,0.000,0.214,0.286,0.286,0.000,0.000,14,F:EU
100669,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
100670,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.333,0.000,0.000,12,F:EU
100671,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.333,0.000,0.000,12,F:EU
100672,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.364,0.273,0.000,0.000,11,F:EU
100685,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
100686,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
100687,0.933,0.067,0.000,1.000,0.000,0.000,0.267,0.333,0.200,0.000,0.000,15,F:EU
100688,0.933,0.067,0.000,1.000,0.000,0.000,0.267,0.333,0.200,0.000,0.000,15,F:EU
100689,0.867,0.067,0.067,1.000,0.000,0.000,0.267,0.400,0.200,0.067,0.067,15,F:EU
100690,0.867,0.067,0.067,1.000,0.000,0.000,0.267,0.400,0.200,0.067,0.067,15,F:EU
100691,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
100692,0.929,0.071,0.000,1.000,0.000,0.000,0.214,0.357,0.214,0.000,0.000,14,F:EU
100693,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
100694,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
100695,0.929,0.071,0.000,1.000,0.000,0.000,0.214,0.357,0.214,0.000,0.000,14,F:EU
100696,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
100697,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
100698,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
100699,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
100700,0.923,0.077,0.000,1.000,0.000,0.000,0.308,0.385,0.154,0.000,0.000,13,F:EU
100710,0.800,0.000,0.200,1.000,0.000,0.000,0.000,0.200,0.200,0.200,0.200,5,F:EU
100711,0.800,0.000,0.200,1.000,0.000,0.000,0.000,0.200,0.200,0.200,0.200,5,F:EU
100712,0.800,0.000,0.200,1.000,0.000,0.000,0.000,0.200,0.200,0.200,0.200,5,F:EU
101465,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
101466,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
101467,0.867,0.067,0.067,1.000,0.000,0.000,0.133,0.333,0.267,0.000,0.000,15,F:EU
101468,0.929,0.071,0.000,1.000,0.000,0.000,0.143,0.286,0.286,0.000,0.000,14,F:EU
101469,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
101470,0.929,0.071,0.000,1.000,0.000,0.000,0.214,0.286,0.286,0.000,0.000,14,F:EU
101471,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.364,0.273,0.000,0.000,11,F:EU
101486,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
101487,0.929,0.071,0.000,1.000,0.000,0.000,0.214,0.357,0.214,0.000,0.000,14,F:EU
